reason,tmdb_id,slug,score,movie_title,year_released,tmdb_title,tmdb_year,release_date,popularity,existing_slug
no_match,,a-personal-journey-with-martin-scorsese-through-american-movies,,A Personal Journey with Martin Scorsese Through American Movies,1995,,,,,
collision_existing,158198,samson-1961-1,1.2503,Samson,1961,Samson,1961,1961-12-23,0.5356,samson-1961
no_match,,she-doesnt-want-to-sleep-alone,,She Doesn't Want to Sleep Alone,2012,,,,,
no_match,,con-gusto-a-rabia,,With Taste like Rage,1965,,,,,
no_match,,file-it-under-fear,,File It Under Fear,1973,,,,,
no_match,,polish-legends-the-dragon,,Polish Legends: The Dragon,2015,,,,,
no_match,,das-traumhotel-myanmar-2013,,Das Traumhotel: Myanmar,2013,,,,,
low_confidence,78323,cash-2011,0.6502,Cash,2011,Moolah,2011,2011-10-13,0.4792,
collision_existing,110747,savage-1973,1.2503,Savage!,1973,Savage,1973,1973-03-31,0.6339,savage-1973-2
no_match,,foo-fighters-live-at-glastonbury-2017,,Foo Fighters: Live at Glastonbury 2017,2017,,,,,
collision_existing,357730,haiku-2009-1,1.2501,Haiku,2009,Haiku,2009,2009-09-03,0.1175,haiku
no_match,,outlaw-love,,Outlaw Love,1979,,,,,
low_confidence,45161,parking-2003,0.6619,Parking,2003,The Delicate Art of Parking,2003,2003-08-23,0.2448,
no_match,,1985-the-movie,,1985 The Movie,2016,,,,,
no_match,,tenement-2,,Tenement 2,2009,,,,,
no_match,,cracker-brotherly-love,,Cracker: Brotherly Love,1995,,,,,
low_confidence,250332,the-green-hornet-movie-edition,0.6958,The Green Hornet Movie Edition,,The Green Hornet,1940,1940-01-08,0.3862,
low_confidence,17738,stan-lee-presents-the-condor,0.7765,Stan Lee Presents: The Condor,2007,The Condor,2007,2007-03-21,0.3886,
no_match,,yu-gi-oh-the-abridged-movie,,Yu-Gi-Oh! The Abridged Movie,2007,,,,,
low_confidence,1379221,student-1975,0.7017,Student,1975,The Student of Salamanca,1975,1975-12-19,0.2392,
low_confidence,965403,the-life-of-rosa,0.6039,The Life of Rosa,2001,The Rebellious Life of Mrs. Rosa Parks,2022,2022-06-16,0.2018,
no_match,,el-ragol-el-abiad-el-motawasset,,El ragol el abiad el motawasset,2001,,,,,
no_match,,film-13,,Film 13,1925,,,,,
no_match,,batman-of-shanghai,,Batman of Shanghai,2012,,,,,
low_confidence,645537,the-driver-2019,0.7152,The Driver,2019,The Berks & Hants Driver's eye view,2019,2019-11-04,0.1230,
no_match,,asalta-al-cine,,Assault on the Cinema,2011,,,,,
no_match,,adult-behavior,,Adult Behavior,1999,,,,,
collision_existing,393134,loop-2016,1.2501,Loop,2016,Loop,2016,2016-04-14,0.2811,loop-2016-1
no_match,,the-alcasser-murders,,The Alcàsser Murders,2019,,,,,
